kode_provinsi,nama_provinsi,jenis_sarana_kesehatan,tahun,jumlah
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2012,55
19,"Prov. Kepulauan Bangka Belitung","Pustu",2000,137
19,"Prov. Kepulauan Bangka Belitung","Pustu",2001,137
19,"Prov. Kepulauan Bangka Belitung","Pustu",2002,140
19,"Prov. Kepulauan Bangka Belitung","Pustu",2003,139
19,"Prov. Kepulauan Bangka Belitung","Pustu",2004,143
19,"Prov. Kepulauan Bangka Belitung","Pustu",2005,145
19,"Prov. Kepulauan Bangka Belitung","Pustu",2006,0
19,"Prov. Kepulauan Bangka Belitung","Pustu",2007,0
19,"Prov. Kepulauan Bangka Belitung","Pustu",2008,156
19,"Prov. Kepulauan Bangka Belitung","Pustu",2009,121
19,"Prov. Kepulauan Bangka Belitung","Pustu",2010,121
19,"Prov. Kepulauan Bangka Belitung","Pustu",2011,121
19,"Prov. Kepulauan Bangka Belitung","Pustu",2012,121
21,"Prov. Kepulauan Riau","Polindes",2000,0
21,"Prov. Kepulauan Riau","Polindes",2001,0
21,"Prov. Kepulauan Riau","Polindes",2002,0
21,"Prov. Kepulauan Riau","Polindes",2003,0
21,"Prov. Kepulauan Riau","Polindes",2004,227
21,"Prov. Kepulauan Riau","Polindes",2005,165
21,"Prov. Kepulauan Riau","Polindes",2006,227
21,"Prov. Kepulauan Riau","Polindes",2007,227
21,"Prov. Kepulauan Riau","Polindes",2008,151
21,"Prov. Kepulauan Riau","Polindes",2009,0
21,"Prov. Kepulauan Riau","Polindes",2010,0
21,"Prov. Kepulauan Riau","Polindes",2011,0
21,"Prov. Kepulauan Riau","Polindes",2012,0
21,"Prov. Kepulauan Riau","Posyandu",2000,0
21,"Prov. Kepulauan Riau","Posyandu",2001,0
21,"Prov. Kepulauan Riau","Posyandu",2002,0
21,"Prov. Kepulauan Riau","Posyandu",2003,0
21,"Prov. Kepulauan Riau","Posyandu",2004,0
21,"Prov. Kepulauan Riau","Posyandu",2005,817
21,"Prov. Kepulauan Riau","Posyandu",2006,503
21,"Prov. Kepulauan Riau","Posyandu",2007,503
21,"Prov. Kepulauan Riau","Posyandu",2008,322
21,"Prov. Kepulauan Riau","Posyandu",2009,903
21,"Prov. Kepulauan Riau","Posyandu",2010,903
21,"Prov. Kepulauan Riau","Posyandu",2011,903
21,"Prov. Kepulauan Riau","Posyandu",2012,903
21,"Prov. Kepulauan Riau","Puskesmas",2000,0
21,"Prov. Kepulauan Riau","Puskesmas",2001,0
21,"Prov. Kepulauan Riau","Puskesmas",2002,0
21,"Prov. Kepulauan Riau","Puskesmas",2003,0
21,"Prov. Kepulauan Riau","Puskesmas",2004,61
21,"Prov. Kepulauan Riau","Puskesmas",2005,41
21,"Prov. Kepulauan Riau","Puskesmas",2006,45
21,"Prov. Kepulauan Riau","Puskesmas",2007,51
21,"Prov. Kepulauan Riau","Puskesmas",2008,59
21,"Prov. Kepulauan Riau","Puskesmas",2009,61
21,"Prov. Kepulauan Riau","Puskesmas",2010,61
21,"Prov. Kepulauan Riau","Puskesmas",2011,61
21,"Prov. Kepulauan Riau","Puskesmas",2012,61
21,"Prov. Kepulauan Riau","Pustu",2000,0
21,"Prov. Kepulauan Riau","Pustu",2001,0
21,"Prov. Kepulauan Riau","Pustu",2002,0
21,"Prov. Kepulauan Riau","Pustu",2003,0
21,"Prov. Kepulauan Riau","Pustu",2004,217
